e,v
10,5
11,6
12,6
13,6
14,6
15,6
16,7
17,7
18,7
19,7
20,7
21,7
22,8
23,8
24,8
25,8
26,8
27,8
28,8
29,9
30,9
31,9
32,9
33,9
34,9
35,9
36,9
37,10
38,10
39,10
40,10
41,10
42,10
43,10
44,10
45,10
46,11
47,11
48,11
49,11
50,11
51,11
52,11
53,11
54,11
55,11
56,12
57,12
58,12
59,12
60,12
61,12
62,12
63,12
64,12
65,12
66,12
67,13
68,13
69,13
70,13
71,13
72,13
73,13
74,13
75,13
76,13
77,13
78,13
79,14
80,14
81,14
82,14
83,14
84,14
85,14
86,14
87,14
88,14
89,14
90,14
91,14
92,15
93,15
94,15
95,15
96,15
97,15
98,15
99,15
100,15
110,16
120,16
130,17
140,18
150,18
160,19
170,19
180,20
190,20
200,21
210,21
220,22
230,22
240,23
250,23
260,24
270,24
280,25
290,25
300,25
310,26
320,26
330,27
340,27
350,27
360,28
370,28
380,29
390,29
400,29
410,30
420,30
430,30
440,31
450,31
460,31
470,32
480,32
490,32
500,33
510,33
520,33
530,34
540,34
550,34
560,34
570,35
580,35
590,35
600,36
610,36
620,36
630,36
640,37
650,37
660,37
670,38
680,38
690,38
700,38
710,39
720,39
730,39
740,39
750,40
760,40
770,40
780,40
790,41
800,41
810,41
820,41
830,42
840,42
850,42
860,42
870,43
880,43
890,43
900,43
910,44
920,44
930,44
940,44
950,45
960,45
970,45
980,45
990,45
1000,46
1100,48
1200,50
1300,52
1400,54
1500,56
1600,58
1700,59
1800,61
1900,63
2000,64
2100,66
2200,67
2300,69
2400,70
2500,72
2600,73
2700,74
2800,76
2900,77
3000,78
3100,80
3200,81
3300,82
3400,83
3500,85
3600,86
3700,87
3800,88
3900,89
4000,90
4100,92
4200,93
4300,94
4400,95
4500,96
4600,97
4700,98
4800,99
4900,100
5000,101
5100,102
5200,103
5300,104
5400,105
5500,106
5600,107
5700,108
5800,109
5900,110
6000,111
6100,111
6200,112
6300,113
6400,114
6500,115
6600,116
6700,117
6800,118
6900,118
7000,119
7100,120
7200,121
7300,122
7400,123
7500,123
7600,124
7700,125
7800,126
7900,127
8000,127
8100,128
8200,129
8300,130
8400,131
8500,131
8600,132
8700,133
8800,134
8900,134
9000,135
9100,136
9200,137
9300,137
9400,138
9500,139
9600,140
9700,140
9800,141
9900,142
10000,142
11000,149
12000,156
13000,162
14000,168
15000,174
16000,180
17000,185
18000,191
19000,196
20000,201
21000,206
22000,211
23000,215
24000,220
25000,225
26000,229
27000,233
28000,238
29000,242
30000,246
31000,250
32000,254
33000,258
34000,262
35000,266
36000,269
37000,273
38000,277
39000,280
40000,284
41000,287
42000,291
43000,294
44000,298
45000,301
46000,304
47000,308
48000,311
49000,314
50000,317
51000,320
52000,323
53000,327
54000,330
55000,333
56000,336
57000,339
58000,342
59000,345
60000,347
61000,350
62000,353
63000,356
64000,359
65000,362
66000,364
67000,367
68000,370
69000,372
70000,375
71000,378
72000,380
73000,383
74000,386
75000,388
76000,391
77000,393
78000,396
79000,398
80000,401
81000,403
82000,406
83000,408
84000,411
85000,413
86000,416
87000,418
88000,421
89000,423
90000,425
91000,428
92000,430
93000,432
94000,435
95000,437
96000,439
97000,441
98000,444
99000,446
100000,448
110000,470
120000,491
130000,511
140000,530
150000,549
160000,567
170000,584
180000,601
190000,617
200000,633
210000,649
220000,664
230000,679
240000,694
250000,708
260000,722
270000,736
280000,749
290000,763
300000,776
310000,788
320000,801
330000,813
340000,826
350000,838
360000,850
370000,861
380000,873
390000,884
400000,895
410000,907
420000,918
430000,928
440000,939
450000,950
460000,960
470000,971
480000,981
490000,991
500000,1001
510000,1011
520000,1021
530000,1031
540000,1040
550000,1050
560000,1059
570000,1069
580000,1078
590000,1087
600000,1096
610000,1106
620000,1115
630000,1123
640000,1132
650000,1141
660000,1150
670000,1159
680000,1167
690000,1176
700000,1184
710000,1193
720000,1201
730000,1209
740000,1218
750000,1226
760000,1234
770000,1242
780000,1250
790000,1258
800000,1266
810000,1274
820000,1282
830000,1289
840000,1297
850000,1305
860000,1312
870000,1320
880000,1328
890000,1335
900000,1343
910000,1350
920000,1357
930000,1365
940000,1372
950000,1379
960000,1387
970000,1394
980000,1401
990000,1408
1000000,1415
1100000,1484
1200000,1550
1300000,1613
1400000,1674
1500000,1733
1600000,1790
1700000,1845
1800000,1898
1900000,1950
2000000,2001
2100000,2050
2200000,2099
2300000,2146
2400000,2192
2500000,2237
2600000,2281
2700000,2325
2800000,2367
2900000,2409
3000000,2450
3100000,2491
3200000,2531
3300000,2570
3400000,2609
3500000,2647
3600000,2684
3700000,2721
3800000,2758
3900000,2794
4000000,2829
4100000,2865
4200000,2899
4300000,2934
4400000,2967
4500000,3001
4600000,3034
4700000,3067
4800000,3099
4900000,3131
5000000,3163
5100000,3195
5200000,3226
5300000,3257
5400000,3287
5500000,3318
5600000,3348
5700000,3377
5800000,3407
5900000,3436
6000000,3465
6100000,3494
6200000,3522
6300000,3551
6400000,3579
6500000,3607
6600000,3634
6700000,3662
6800000,3689
6900000,3716
7000000,3743
7100000,3769
7200000,3796
7300000,3822
7400000,3848
7500000,3874
7600000,3900
7700000,3925
7800000,3951
7900000,3976
8000000,4001
8100000,4026
8200000,4051
8300000,4075
8400000,4100
8500000,4124
8600000,4148
8700000,4172
8800000,4196
8900000,4220
9000000,4244
9100000,4267
9200000,4291
9300000,4314
9400000,4337
9500000,4360
9600000,4383
9700000,4406
9800000,4428
9900000,4451
10000000,4473
